;;Parameter;Unit;Year;1;2;3;4;5;6;7;8;9;10;11;12
;;T;°C;1996;;;;11;;27;;24;;14;;7
;;T;°C;1997;;4;;7;;21;;24;;14;;10
;;T;°C;1998;;6;;16;;24;;22;;14;;
;;T;°C;1999;;5;;16;;27;;28;;17;;9
;;T;°C;2000;;5;;17;;24;;26;;14;;6
;;T;°C;2001;;6;;16;;25;;31;;14;;
;;T;°C;2002;;8;;10;;24;;23;;15;;
;;T;°C;2003;;1;;12;;30.8;;26;;14;;
;;T;°C;2004;;4;;14;;27;;22.2;;17.4;;
;;T;°C;2005;;8;;14;;22;;25;;11;;
;;T;°C;2006;;8;;17;;26;;26;;11;;
;;T;°C;2007;;9;;16.5;;26.8;;;;;;
;;T;°C;2008;;13.6;;18.4;;30;;26.6;;16.6;;
;;T;°C;2009;;6;;18.9;;27.7;;;;;;
;;T;°C;2010;;13;;18;;27;;26;;17;;
;;T;°C;2011;;23;;24;;27;;;;;;
;;T;°C;2012;;27;;26;;;;26;;26;;
;;T;°C;2013;;23;;18;;21;;27;;23;;
;TDS;;;;;;;;;;;;;;;
;;TDS;mg/L;1985;;;;384;;655;;416;;660;;718
;;TDS;mg/L;1986;;;412;402;;561;;636;;634;;644
;;TDS;mg/L;1987;;523;;500;;471;;;;704;;
;;TDS;mg/L;1988;;612;;562;;548;;522;;616;;670
;;TDS;mg/L;1989;;570;;555;;621;;397;;567;;693
;;TDS;mg/L;1990;;603;;624;;676;;510;;797;;455
;;TDS;mg/L;1991;;634;;406;;305;;252;;416;;319
;;TDS;mg/L;1992;;353;;313;;336;;275;;427;;549
;;TDS;mg/L;1993;;476;;403;;553;;471;;561;;563
;;TDS;mg/L;1994;;518;;481;;429;;625;;766;;300
;;TDS;mg/L;1995;;583;;326;;572;;288;;447;;320
;;TDS;mg/L;1996;;;;377;;400;;369;;425;;407
;;TDS;mg/L;1997;;542;;397;;416;;317;;450;;415
;;TDS;mg/L;1998;;261;;245;;400;;390;;420;;
;;TDS;mg/L;1999;;360;;345;;446;;385;;410;;425
;;TDS;mg/L;2000;;241;;445;;460;;380;;465;;640
;;TDS;mg/L;2001;;615;;615;;506;;430;;674;;
;;TDS;mg/L;2002;;562;;487;;529;;412;;510;;
;;TDS;mg/L;2003;;395;;609;;419;;408;;580;;
;;TDS;mg/L;2004;;506;;577;;340;;347;;524;;
;;TDS;mg/L;2005;;436;;381;;356;;347;;508;;
;;TDS;mg/L;2006;;456;;415;;387;;339;;607;;
;;TDS;mg/L;2007;;406;;510;;391;;;;;;
;;TDS;mg/L;2008;;369;;439;;388;;383;;485.8;;
;;TDS;mg/L;2009;;414.7;;461;;339.8;;;;;;
;;TDS;mg/L;2010;;333;;384;;433;;418;;463;;
;;TDS;mg/L;2011;;527;;578;;350;;;;;;
;;TDS;mg/L;2012;;356;;473;;;;381;;516;;
;;TDS;mg/L;2013;;460;;427;;337;;503;;500;;
;TH;;;;;;;;;;;;;;;
;;TH;mg/l CaCO3;1985;;;;320;;315;;275;;410;;410
;;TH;mg/l CaCO3;1986;;;265;370;;385;;440;;470;;410
;;TH;mg/l CaCO3;1995;;310;;;;;;;;;;
;;TH;mg/l CaCO3;1997;;400;;305;;305;;255;;330;;300
;;TH;mg/l CaCO3;1998;;180;;235;;250;;250;;340;;
;;TH;mg/l CaCO3;1999;;240;;275;;315;;295;;325;;375
;;TH;mg/l CaCO3;2000;;265;;335;;300;;325;;325;;350
;;TH;mg/l CaCO3;2001;;330;;340;;345;;310;;370;;
;;TH;mg/l CaCO3;2002;;325;;280;;350;;270;;290;;
;;TH;mg/l CaCO3;2003;;230;;330;;275;;290;;295;;
;;TH;mg/l CaCO3;2004;;285;;350;;230;;225;;310;;
;;TH;mg/l CaCO3;2005;;240;;235;;255;;230;;295;;
;;TH;mg/l CaCO3;2006;;250;;240;;265;;260;;365;;
;;TH;mg/l CaCO3;2007;;305;;335;;265;;;;;;
;;TH;mg/l CaCO3;2008;;240;;290;;240;;250;;300;;
;;TH;mg/l CaCO3;2009;;220;;265;;210;;;;;;
;;TH;mg/l CaCO3;2010;;210;;285;;260;;250;;32;;
;;TH;mg/l CaCO3;2011;;325;;340;;235;;;;;;
;;TH;mg/l CaCO3;2012;;23.1;;27.4;;;;21.3;;33.8;;
;;TH;mg/l CaCO3;2013;;298.2;;264.4;;19.9;;23.5;;304.3;;
;TKN;;;;;;;;;;;;;;;
;;TKN;mg/L;2010;;;;;;;;;;;;
;;TKN;mg/L;2011;;;;;;;;;;;;
;;TKN;mg/L;2012;;2;;0.8;;;;0.6;;0.5;;
;;TKN;mg/L;2013;;0;;0.5;;0.1;;1.4;;5.4;;
;Top.N;;;;;;;;;;;;;;;
;;Top.N;mg/L;2010;;;;;;;;;;;;
;;Top.N;mg/L;2011;;;;;;;;;;;;
;;Top.N;mg/L;2012;;;;;;;;;;;;
;;Top.N;mg/L;2013;;;;;;;;;;;;
;Top.P;;;;;;;;;;;;;;;
;;Top.P;mg/L;2010;;;;;;;;;;;;
;;Top.P;mg/L;2011;;;;;;;;;;;;
;;Top.P;mg/L;2012;;;;;;;;;;;;
;;Top.P;mg/L;2013;;;;;;;;;;;;
;Turb;;;;;;;;;;;;;;;
;;Turb;NTU;1985;;;;25;;120;;87;;43;;20
;;Turb;NTU;1986;;;130;65;;116;;56;;28;;37
;;Turb;NTU;1987;;70;;120;;170;;;;46;;
;;Turb;NTU;1988;;38;;100;;65;;50;;45;;60
;;Turb;NTU;1989;;40;;55;;300;;70;;45;;25
;;Turb;NTU;1990;;;;60;;;;;;;;
;;Turb;NTU;1991;;40;;50;;60;;85;;25;;40
;;Turb;NTU;1992;;40;;95;;270;;30;;25;;30
;;Turb;NTU;1993;;20;;60;;75;;40;;30;;30
;;Turb;NTU;1994;;20;;70;;225;;80;;40;;30
;;Turb;NTU;1995;;30;;140;;240;;65;;25;;30
;;Turb;NTU;1996;;;;85;;120;;40;;35;;55
;;Turb;NTU;1997;;20;;80;;80;;100;;25;;240
;;Turb;NTU;1998;;120;;35;;45;;25;;25;;
;;Turb;NTU;1999;;30;;65;;30;;25;;20;;10
;;Turb;NTU;2000;;15;;25;;20;;25;;15;;10
;;Turb;NTU;2001;;15;;20;;20;;30;;30;;
;;Turb;NTU;2002;;15;;35;;80;;45;;35;;
;;Turb;NTU;2003;;25;;15;;15;;15;;15;;
;;Turb;NTU;2004;;20;;30;;45;;40;;15;;
;;Turb;NTU;2005;;60;;25;;55;;45;;30;;
;;Turb;NTU;2006;;25;;20;;45;;20;;20;;
;;Turb;NTU;2007;;20;;20;;35;;;;;;
;;Turb;NTU;2008;;13.2;;30;;64.3;;14.1;;1.21;;
;;Turb;NTU;2009;;17.1;;17.8;;33.9;;;;;;
;;Turb;NTU;2010;;150;;19.7;;38;;32.1;;22.3;;
;;Turb;NTU;2011;;4.5;;36.2;;21.8;;;;;;
;;Turb;NTU;2012;;10.8;;13.7;;;;1.3;;0.8;;
;;Turb;NTU;2013;;10.6;;21.8;;10;;9.9;;1.8;;
;Zn;;;;;;;;;;;;;;;
;;Zn;µg/L;1988;;;;22;;;;3;;;;
;;Zn;µg/L;2013;;16.7;;;;;;;;96.2;;
"Station No: 01-11-00-003; Station Name: ARDA NEHRI-ESKI DEMIRYOLU KOPRUSU";;;;;;;;;;;;;;;;
;As;;;;;;;;;;;;;;;
;;As;µg/L;1987;;;;5;;2;;;;5;;
;;As;µg/L;2013;;1.34;;;;;;;;0.86;;
;BOD5;;;;;;;;;;;;;;;
;;BOD5;mg/L;1985;;;;1.8;;1.6;;1.4;;2.4;;2.2
;;BOD5;mg/L;1986;;;3.6;2.6;;1.7;;1.4;;2.8;;2.8
;;BOD5;mg/L;1987;;2.7;;2;;2;;;;1.8;;3.5
;;BOD5;mg/L;1988;;3.3;;2.1;;6.1;;2;;0.4;;3
;;BOD5;mg/L;1989;;1.3;;0.7;;1.2;;1.7;;0.2;;1.6
;;BOD5;mg/L;1990;;4.4;;0.8;;1.3;;1.3;;1.2;;1.9
;;BOD5;mg/L;1991;;2.7;;1.5;;0.5;;0.4;;0.4;;2.2
;;BOD5;mg/L;1992;;0.3;;1.5;;1;;0.3;;0.7;;3.6
;;BOD5;mg/L;1994;;0.7;;1.1;;0.5;;1.2;;1.5;;1.6
;;BOD5;mg/L;1995;;1.6;;3;;0.6;;0.7;;2.4;;1.8
;;BOD5;mg/L;1996;;;;2.2;;1.4;;1.3;;0.9;;1.7
;;BOD5;mg/L;1997;;3.4;;1.9;;1.7;;1.3;;1.4;;1.1
;;BOD5;mg/L;1998;;2.4;;0.7;;1.2;;0.7;;2.2;;
;;BOD5;mg/L;1999;;2.6;;2.4;;1.2;;2.2;;0.9;;1.6
;;BOD5;mg/L;2000;;2.6;;2;;1;;3.1;;1.7;;2.4
;;BOD5;mg/L;2001;;1.8;;2;;2.2;;2.4;;1.1;;
;;BOD5;mg/L;2002;;1.1;;1.8;;1.5;;3.2;;2;;
;;BOD5;mg/L;2003;;2.7;;2;;2;;2.4;;3.1;;
;;BOD5;mg/L;2004;;2;;1.3;;0.4;;1;;0.6;;
;;BOD5;mg/L;2005;;0;;0;;7;;2;;1;;
;;BOD5;mg/L;2006;;0;;0;;3;;7;;1;;
;;BOD5;mg/L;2007;;2;;25;;5;;;;;;
;;BOD5;mg/L;2008;;2;;2;;7;;5;;2;;
;;BOD5;mg/L;2009;;1;;0;;6;;;;;;
;;BOD5;mg/L;2010;;2;;1;;5;;6;;1;;
;;BOD5;mg/L;2011;;3;;3;;4;;;;;;
;;BOD5;mg/L;2012;;4;;3;;;;6;;0;;
;;BOD5;mg/L;2013;;5;;2;;3;;8;;0;;
;Ca++;;;;;;;;;;;;;;;
;;Ca++;mg/L;1985;;;;40;;32;;52;;68;;62
;;Ca++;mg/L;1986;;;36;50;;42;;44;;30;;32
;;Ca++;mg/L;1987;;34;;34;;34;;;;40;;36
;;Ca++;mg/L;1988;;54;;34;;32;;40;;52;;40
;;Ca++;mg/L;1989;;56;;34;;34;;38;;24;;32
;;Ca++;mg/L;1990;;24;;42;;52;;46;;48;;48
;;Ca++;mg/L;1991;;44;;34;;38;;40;;52;;42
;;Ca++;mg/L;1992;;36;;56;;36;;56;;44;;48
;;Ca++;mg/L;1994;;58;;56;;36;;48;;46;;58
;;Ca++;mg/L;1995;;36;;38;;58;;38;;52;;34
;;Ca++;mg/L;1996;;;;32;;34;;38;;64;;32
;;Ca++;mg/L;1997;;40;;38;;40;;52;;50;;32
;;Ca++;mg/L;1998;;30;;30;;32;;38;;66;;
;;Ca++;mg/L;1999;;30;;36;;48;;46;;50;;34
;;Ca++;mg/L;2000;;30;;60;;42;;50;;36;;44
;;Ca++;mg/L;2001;;40;;40;;38;;48;;44;;
;;Ca++;mg/L;2002;;42;;38;;44;;42;;40;;
;;Ca++;mg/L;2003;;42;;30;;40;;32;;46;;
;;Ca++;mg/L;2004;;24;;26;;46;;30;;28;;
;;Ca++;mg/L;2005;;20;;26;;36;;34;;36;;
;;Ca++;mg/L;2006;;24;;36;;38;;40;;68;;
;;Ca++;mg/L;2007;;44;;44;;28;;;;;;
;;Ca++;mg/L;2008;;52;;40;;28;;34;;56;;
;;Ca++;mg/L;2009;;36;;20;;40;;;;;;
;;Ca++;mg/L;2010;;24;;36;;52;;30;;36;;
;;Ca++;mg/L;2011;;40;;36;;52;;;;;;
;;Ca++;mg/L;2012;;29.6;;42;;;;41.8;;68;;
;;Ca++;mg/L;2013;;27.71;;24.73;;32.05;;44.61;;35.97;;
;Cd;;;;;;;;;;;;;;;
;;Cd;µg/L;2013;;0;;;;;;;;0.1;;
;Cl-;;;;;;;;;;;;;;;
;;Cl-;mg/lt;1985;;;;10.8;;29.4;;58.7;;87.1;;47
;;Cl-;mg/lt;1986;;;14.7;27.4;;23.5;;17.6;;10;;13
;;Cl-;mg/lt;1987;;14;;17;;16;;;;15.5;;15.5
;;Cl-;mg/lt;1988;;25.3;;15.5;;15.4;;23.1;;31.8;;16.4
;;Cl-;mg/lt;1989;;38.6;;18;;16;;18;;15;;15
;;Cl-;mg/lt;1990;;12.6;;21.4;;24.1;;36.9;;22;;16.3
;;Cl-;mg/lt;1991;;18.4;;12.8;;14.2;;16.3;;21.3;;16.3
;;Cl-;mg/lt;1992;;11.3;;24;;17;;39;;12.8;;13.5
;;Cl-;mg/lt;1994;;27.7;;29.8;;22.7;;17.7;;14.9;;23.4
;;Cl-;mg/lt;1995;;7.1;;12.1;;28.4;;13.5;;20.6;;10.6
;;Cl-;mg/lt;1996;;;;9.9;;16.3;;12.1;;27.7;;9.2
;;Cl-;mg/lt;1997;;14.2;;9.93;;11.3;;13.5;;17;;9.2
;;Cl-;mg/lt;1998;;9.9;;9.9;;9.9;;20.6;;32.6;;
;;Cl-;mg/lt;1999;;9.9;;9.2;;19.9;;19.9;;23.4;;9.9
;;Cl-;mg/lt;2000;;11.3;;26.9;;19.1;;26.2;;7.1;;19.9
;;Cl-;mg/lt;2001;;14.2;;12.1;;13.5;;26.2;;13.5;;
;;Cl-;mg/lt;2002;;16.3;;11.3;;17;;32.6;;12.8;;
;;Cl-;mg/lt;2003;;10.6;;9.2;;18.4;;11.3;;20;;
;;Cl-;mg/lt;2004;;10.6;;12.8;;9.9;;9.9;;9.22;;
;;Cl-;mg/lt;2005;;8.5;;8.5;;11.3;;20.6;;12.1;;
;;Cl-;mg/lt;2006;;12.8;;9.2;;14.2;;18.4;;28.4;;
;;Cl-;mg/lt;2007;;15.6;;22;;12.1;;;;;;
;;Cl-;mg/lt;2008;;19.6;;14.2;;13.5;;10.65;;26.27;;
;;Cl-;mg/lt;2009;;9.94;;11.36;;14.91;;;;;;
;;Cl-;mg/lt;2010;;12.05;;19.85;;17.73;;11.34;;7.8;;
;;Cl-;mg/lt;2011;;12.76;;16.31;;12.05;;;;;;
;;Cl-;mg/lt;2012;;8.93;;18.43;;;;12.69;;18.72;;
;;Cl-;mg/lt;2013;;5.49;;5.4;;5.43;;8.58;;5.27;;
;CN-;;;;;;;;;;;;;;;
;;CN-;µg/L;1985;;;;0;;0;;0;;0;;0
;;CN-;µg/L;1986;;;0;0;;0;;0;;0;;0
;;CN-;µg/L;1987;;0;;0;;0;;;;0;;
;;CN-;µg/L;1988;;0;;0;;0;;0;;0;;0
;CO2;;;;;;;;;;;;;;;
;;CO2;mg/L;1991;;3.4;;2.8;;1.8;;2.2;;;;3.2
;COD;;;;;;;;;;;;;;;
;;COD;mg/L;1997;;3.4;;3.2;;2.4;;1.9;;1.6;;1.6
;;COD;mg/L;1998;;2.5;;1.8;;3.3;;1.7;;1.7;;
;;COD;mg/L;1999;;3.3;;2.2;;;;;;;;
;;COD;mg/L;2003;;3;;9;;0;;1;;1;;
;;COD;mg/L;2004;;15;;1;;15;;5;;8;;
;;COD;mg/L;2005;;;;8;;68;;7;;24;;
;;COD;mg/L;2006;;7;;2;;151;;;;;;
;;COD;mg/L;2007;;0;;12;;5.1;;;;;;
;;COD;mg/L;2008;;;;14.8;;12.1;;14.1;;15.1;;
;;COD;mg/L;2009;;15;;10.1;;18.3;;;;;;
;;COD;mg/L;2010;;22.1;;15;;13.9;;22.4;;10.3;;
;;COD;mg/L;2011;;8.1;;16.9;;7.6;;;;;;
;;COD;mg/L;2012;;4.8;;6.6;;;;13.2;;13;;
;;COD;mg/L;2013;;17.2;;31.2;;28;;0;;;;
;Col;;;;;;;;;;;;;;;
;;Col;Pt-Co;2010;;;;;;;;;;;;
;;Col;Pt-Co;2011;;;;;;7;;;;;;
;;Col;Pt-Co;2012;;110;;9;;;;9;;0;;
;;Col;Pt-Co;2013;;58;;16;;28;;13;;15;;
;Cr;;;;;;;;;;;;;;;
;;Cr;µg/L;1985;;;;0;;0;;0;;0;;0
;;Cr;µg/L;1986;;;0;0;;0;;0;;0;;0
;;Cr;µg/L;1987;;;;0;;0;;;;0;;
;;Cr;µg/L;1988;;;;5;;;;0;;;;
;;Cr;µg/L;2013;;3.97;;;;;;;;17.46;;
;Cu;;;;;;;;;;;;;;;
;;Cu;µg/L;1985;;;;200;;0;;0.5;;0;;0
;;Cu;µg/L;1986;;;0;0;;200;;0;;0;;0
;;Cu;µg/L;1987;;;;0;;0;;;;0;;
;;Cu;µg/L;1988;;;;5;;;;0;;;;
;;Cu;µg/L;2013;;3.3;;;;;;;;80.94;;
;DO;;;;;;;;;;;;;;;
;;DO;mg O2/l;1985;;;;11;;9.8;;10;;10.7;;11.6
;;DO;mg O2/l;1986;;;12.9;10;;10;;8.8;;10.2;;11.8
;;DO;mg O2/l;1987;;13.1;;10.4;;8.8;;;;10.4;;12.4
;;DO;mg O2/l;1988;;13.4;;12.2;;8.4;;8.8;;10.2;;13.7
;;DO;mg O2/l;1989;;12.2;;11;;9.9;;9.3;;10;;14
;;DO;mg O2/l;1990;;15.2;;10.4;;8.6;;8.5;;9.8;;12.4
;;DO;mg O2/l;1991;;11.8;;11.8;;8.8;;8.2;;9.5;;13.8
;;DO;mg O2/l;1992;;14.5;;11.6;;9.4;;10;;10;;13.4
;;DO;mg O2/l;1994;;12.8;;11.2;;10;;7.7;;9.4;;13.1
;;DO;mg O2/l;1995;;12.4;;12;;7.9;;8.3;;10.2;;11.4
;;DO;mg O2/l;1996;;;;12;;9.3;;7.7;;9.4;;11.2
;;DO;mg O2/l;1997;;14;;12.2;;9.5;;8.1;;9.8;;11.2
;;DO;mg O2/l;1998;;14;;11.2;;9.4;;8.7;;10.2;;
;;DO;mg O2/l;1999;;14.8;;12.4;;8.4;;7.7;;8.8;;12.2
;;DO;mg O2/l;2000;;13.2;;9.6;;10.5;;8;;10.5;;12
;;DO;mg O2/l;2001;;11.8;;10.6;;9;;8.4;;10.2;;
;;DO;mg O2/l;2002;;11.6;;12.2;;9;;8.1;;9.8;;
;;DO;mg O2/l;2003;;15.4;;12.4;;8.9;;9.7;;10.4;;
;;DO;mg O2/l;2004;;13.2;;8.2;;6.8;;6.8;;6.9;;
;;DO;mg O2/l;2005;;5.1;;6.3;;3.9;;3.4;;7.2;;
;;DO;mg O2/l;2006;;8.3;;7.6;;4.6;;2.8;;5.1;;
;;DO;mg O2/l;2007;;10.2;;8.7;;8.2;;;;;;
;;DO;mg O2/l;2008;;9.4;;9.8;;8.4;;7.9;;9.6;;
;;DO;mg O2/l;2009;;12.7;;10.6;;8.5;;;;;;
;;DO;mg O2/l;2010;;11.6;;10.6;;8.4;;8.6;;9.9;;
;;DO;mg O2/l;2011;;12.8;;11.4;;9;;;;;;
;;DO;mg O2/l;2012;;13.4;;10.2;;;;8.7;;9.2;;
;;DO;mg O2/l;2013;;11.3;;10.7;;9.7;;8.1;;9.2;;
;EC;;;;;;;;;;;;;;;
;;EC;mikromhos/cm;1985;;;;291;;378;;508;;564;;442
;;EC;mikromhos/cm;1986;;;254;341;;343;;290;;266;;256
;;EC;mikromhos/cm;1987;;357;;303;;301;;;;272;;298
;;EC;mikromhos/cm;1988;;373;;299;;296;;339;;386;;309
;;EC;mikromhos/cm;1989;;480;;338;;331;;298;;250;;281
;;EC;mikromhos/cm;1990;;272;;359;;390;;448;;386;;316
;;EC;mikromhos/cm;1991;;358;;272;;291;;319;;373;;331
;;EC;mikromhos/cm;1992;;271;;404;;325;;480;;316;;340
;;EC;mikromhos/cm;1994;;424;;432;;390;;353;;364;;419
;;EC;mikromhos/cm;1995;;311;;299;;478;;296;;376;;248
;;EC;mikromhos/cm;1996;;;;271;;344;;279;;386;;205
;;EC;mikromhos/cm;1997;;296;;253;;303;;341;;351;;284
;;EC;mikromhos/cm;1998;;249;;208;;280;;364;;506;;
;;EC;mikromhos/cm;1999;;260;;236;;369;;369;;393;;265
;;EC;mikromhos/cm;2000;;221;;404;;337;;424;;278;;461
;;EC;mikromhos/cm;2001;;397;;345;;301;;398;;375;;
;;EC;mikromhos/cm;2002;;391;;329;;380;;229;;388;;
;;EC;mikromhos/cm;2003;;291;;295;;359;;284;;471;;
;;EC;mikromhos/cm;2004;;261;;293;;284;;271;;304;;
;;EC;mikromhos/cm;2005;;245;;269;;331;;257;;350;;
;;EC;mikromhos/cm;2006;;254;;250;;326;;316;;652;;
;;EC;mikromhos/cm;2007;;346;;412;;252;;;;;;
;;EC;mikromhos/cm;2008;;487;;321;;298;;297;;498;;
;;EC;mikromhos/cm;2009;;289;;267;;308;;;;;;
;;EC;mikromhos/cm;2010;;242;;271;;408;;277;;230;;
;;EC;mikromhos/cm;2011;;286;;344;;315;;;;;;
;;EC;mikromhos/cm;2012;;231;;420;;;;316;;419;;
;;EC;mikromhos/cm;2013;;215;;239;;241;;363;;266;;
;Fe;;;;;;;;;;;;;;;
;;Fe;µg/L;1985;;;;400;;400;;600;;700;;
;;Fe;µg/L;1986;;;500;0;;200;;0;;200;;600
;;Fe;µg/L;1987;;;;0;;0;;;;10;;
;;Fe;µg/L;1988;;;;240;;;;200;;;;
;;Fe;µg/L;2013;;509.4;;;;;;;;270;;
;Hg;;;;;;;;;;;;;;;
;;Hg;µg/L;1987;;;;;;1;;;;1;;
;;Hg;µg/L;2013;;;;;;;;;;;;
;K+;;;;;;;;;;;;;;;
;;K+;mg/L;1985;;;;2.73;;5.46;;5.85;;11.7;;5.46
;;K+;mg/L;1986;;;2.73;3.9;;3.51;;2.73;;2.34;;2.34
;;K+;mg/L;1987;;2.34;;1.56;;2.73;;;;2.73;;3.12
;;K+;mg/L;1988;;3.51;;2.73;;2.73;;2.73;;2.34;;1.95
;;K+;mg/L;1989;;3.9;;2.73;;3.12;;3.12;;1.95;;1.95
;;K+;mg/L;1991;;0.59;;1.95;;1.95;;2.34;;3.9;;3.9
;;K+;mg/L;1992;;2.34;;3.51;;2.73;;3.51;;1.954;;1.954
;;K+;mg/L;1994;;2.73;;2.34;;2.34;;2.73;;1.95;;3.12
;;K+;mg/L;1995;;1.95;;1.56;;2.34;;1.95;;1.95;;1.95
;;K+;mg/L;1996;;;;1.56;;1.17;;2.34;;3.12;;2.34
;;K+;mg/L;1997;;2.73;;2.34;;2.34;;3.9;;3.51;;2.34
;;K+;mg/L;1998;;1.95;;3.12;;2.34;;4.68;;5.85;;
;;K+;mg/L;1999;;1.95;;1.95;;3.9;;5.46;;7.41;;3.9
;;K+;mg/L;2000;;19.5;;5.85;;5.85;;5.46;;3.12;;3.12
;;K+;mg/L;2001;;3.12;;3.12;;3.9;;9.75;;1.95;;
;;K+;mg/L;2002;;2.34;;2.34;;3.12;;2.73;;2.34;;
;;K+;mg/L;2003;;1.95;;1.56;;1.95;;2.34;;1.95;;
;;K+;mg/L;2004;;4.29;;2.34;;2.34;;3.12;;3.51;;
;;K+;mg/L;2005;;1.95;;1.38;;1.95;;3.12;;3.12;;
;;K+;mg/L;2006;;2.73;;2.34;;1.95;;4.29;;4.68;;
;;K+;mg/L;2007;;2.34;;1.56;;2.73;;;;;;
;;K+;mg/L;2008;;3.51;;1.15;;1.17;;0.78;;3.9;;
;;K+;mg/L;2009;;1.95;;1.17;;1.56;;;;;;
;;K+;mg/L;2010;;0.78;;1.56;;2.73;;1.56;;1.17;;
;;K+;mg/L;2011;;1.17;;1.95;;2.34;;;;;;
;;K+;mg/L;2012;;1.95;;3.12;;;;2.73;;3.12;;
;;K+;mg/L;2013;;1.74;;1.27;;1.85;;2.72;;2.16;;
;M.Oil;;;;;;;;;;;;;;;
;;M.Oil;mg/L;1985;;;;13.8;;18;;84.2;;40;;4.2
;;M.Oil;mg/L;1986;;;20.8;18;;4.6;;4.2;;30.4;;53.8
;;M.Oil;mg/L;1987;;3.4;;22;;8;;;;55.8;;19
;;M.Oil;mg/L;1988;;12.4;;49.4;;8.4;;10;;9.8;;2.2
;;M.Oil;mg/L;1989;;4.4;;4.8;;2.2;;4.2;;3.2;;12.6
;;M.Oil;mg/L;1991;;5.6;;8.8;;7.4;;3.8;;4.8;;7.6
;;M.Oil;mg/L;1992;;5.4;;5.6;;4.4;;5.8;;6.2;;5.6
;;M.Oil;mg/L;1994;;4.6;;3.8;;4.8;;3.6;;2.4;;3.6
;;M.Oil;mg/L;1995;;4.4;;4.8;;3.8;;3.4;;5.4;;3.6
;;M.Oil;mg/L;1996;;;;4;;4;;2.6;;5.8;;10.8
;;M.Oil;mg/L;1997;;6;;3.8;;2.2;;3.8;;;;
;M-Al;;;;;;;;;;;;;;;
;;M-Al;mg/L;1985;;;;100;;115;;150;;170;;145
;;M-Al;mg/L;1986;;;100;120;;115;;110;;85;;120
;;M-Al;mg/L;1987;;85;;100;;105;;;;90;;85
;;M-Al;mg/L;1988;;110;;80;;100;;110;;110;;85
;;M-Al;mg/L;1989;;130;;90;;95;;100;;80;;80
;;M-Al;mg/L;1990;;85;;105;;105;;110;;110;;85
;;M-Al;mg/L;1991;;110;;70;;90;;80;;100;;100
;;M-Al;mg/L;1992;;90;;115;;100;;130;;95;;95
;;M-Al;mg/L;1994;;125;;130;;140;;115;;100;;125
;;M-Al;mg/L;1995;;85;;90;;125;;100;;105;;80
;;M-Al;mg/L;1996;;;;85;;105;;95;;130;;70
;;M-Al;mg/L;1997;;100;;85;;95;;110;;110;;70
;;M-Al;mg/L;1998;;80;;90;;95;;115;;155;;
;;M-Al;mg/L;1999;;85;;85;;110;;120;;125;;80
;;M-Al;mg/L;2000;;90;;130;;115;;115;;95;;100
;;M-Al;mg/L;2001;;105;;95;;95;;120;;100;;
;;M-Al;mg/L;2002;;100;;90;;115;;100;;105;;
;;M-Al;mg/L;2003;;80;;80;;120;;80;;115;;
;;M-Al;mg/L;2004;;70;;75;;95;;90;;95;;
;;M-Al;mg/L;2005;;70;;75;;100;;90;;100;;
;;M-Al;mg/L;2006;;80;;75;;100;;110;;165;;
;;M-Al;mg/L;2007;;120;;130;;90;;;;;;
;;M-Al;mg/L;2008;;90;;110;;128.1;;122;;170.8;;
;;M-Al;mg/L;2009;;109.8;;91.5;;122;;;;;;
;;M-Al;mg/L;2010;;97.6;;115.9;;158.6;;115.9;;91.5;;
;;M-Al;mg/L;2011;;109.8;;128.1;;152.5;;;;;;
;;M-Al;mg/L;2012;;101.9;;161;;;;153.7;;178.7;;
;;M-Al;mg/L;2013;;120.8;;141.5;;126.9;;130.5;;68.3;;
;Mg++;;;;;;;;;;;;;;;
;;Mg++;mg/L;1985;;;;6.1;;17;;20.7;;29.2;;15.8
;;Mg++;mg/L;1986;;;7.3;13.4;;17;;12.2;;15.8;;7.3
;;Mg++;mg/L;1987;;9.7;;9.7;;12.2;;;;3.6;;8.5
;;Mg++;mg/L;1988;;7.3;;8.5;;10.9;;9.7;;8.5;;6.1
;;Mg++;mg/L;1989;;15.8;;13.4;;12.2;;7.3;;9.7;;7.3
;;Mg++;mg/L;1990;;;;7.3;;8.5;;17;;9.7;;4.9
;;Mg++;mg/L;1991;;9.7;;7.3;;8.5;;9.7;;6.1;;8.5
;;Mg++;mg/L;1992;;7.3;;8.5;;9.7;;12.2;;6.1;;7.3
;;Mg++;mg/L;1994;;12.2;;12.2;;17;;4.9;;8.5;;9.7
;;Mg++;mg/L;1995;;7.3;;8.5;;9.7;;8.5;;6.1;;7.3
;;Mg++;mg/L;1996;;;;8.5;;13.5;;9.7;;9.7;;4.9
;;Mg++;mg/L;1997;;8.5;;4.9;;8.5;;7.3;;6.1;;2.4
;;Mg++;mg/L;1998;;6.1;;3.7;;4.9;;9.7;;17;;
;;Mg++;mg/L;1999;;6.1;;3.7;;8.5;;15.8;;10.9;;6.1
;;Mg++;mg/L;2000;;8.5;;10.9;;10.9;;12.2;;7.3;;10.9
;;Mg++;mg/L;2001;;6.1;;6.1;;7.3;;12.2;;9.7;;
;;Mg++;mg/L;2002;;8.5;;6.1;;9.7;;9.7;;10.9;;
;;Mg++;mg/L;2003;;4.9;;7.3;;9.7;;10.9;;8.5;;
